match_type,gene
symbol,A330040F15Rik
symbol,A330069E16Rik
symbol,A330074K22Rik
symbol,A330084C13Rik
symbol,A3galt2
symbol,A430005L14Rik
symbol,A430010J10Rik
symbol,A430018G15Rik
symbol,A430033K04Rik
symbol,A430035B10Rik
symbol,A430046D13Rik
symbol,A430057M04Rik
symbol,A430073D23Rik
symbol,A430078I02Rik
symbol,A430090L17Rik
symbol,A430093F15Rik
symbol,A430105J06Rik
symbol,A430108G06Rik
symbol,A430110L20Rik
symbol,A4galt
symbol,A530013C23Rik
symbol,A530017D24Rik
symbol,A530058N18Rik
symbol,A530072M11Rik
symbol,A630014C17Rik
symbol,A630023A22Rik
symbol,A630052C17Rik
symbol,A630072M18Rik
symbol,A630089N07Rik
symbol,A730004F24Rik
symbol,A730011C13Rik
symbol,A730015C16Rik
symbol,A730017L22Rik
symbol,A730020E08Rik
symbol,A730035I17Rik
symbol,A730056A06Rik
symbol,A730062M13Rik
symbol,A730063M14Rik
symbol,A730081D07Rik
symbol,A730089K16Rik
symbol,A730091E23Rik
symbol,A830012C17Rik
symbol,A830019P07Rik
symbol,A830052D11Rik
symbol,A830082K12Rik
symbol,A830082N09Rik
symbol,A930001C03Rik
symbol,A930001M01Rik
symbol,A930004D18Rik
symbol,A930004J17Rik
symbol,A930005H10Rik
symbol,A930006K02Rik
symbol,A930006L05Rik
symbol,A930007I19Rik
symbol,A930012L18Rik
symbol,A930012O16Rik
symbol,A930015D03Rik
symbol,A930024E05Rik
symbol,A930029G22Rik
symbol,A930033H14Rik
symbol,A930037H05Rik
symbol,AA386476
symbol,AA414768
symbol,AA465934
symbol,AA474408
symbol,AA543186
symbol,AA914427
symbol,AA986860
symbol,AB124611
symbol,AC061963.1
symbol,AC079441.1
symbol,AC090479.2
symbol,AC091309.5
symbol,AC098880.2
symbol,AC105304.1
symbol,AC106834.1
symbol,AC109138.11
symbol,AC109138.7
symbol,AC110206.1
symbol,AC113003.1
symbol,AC114006.1
symbol,AC114539.1
symbol,AC115631.1
symbol,AC116597.1
symbol,AC116759.1
symbol,AC117612.2
symbol,AC120159.1
symbol,AC121603.1
symbol,AC121603.3
symbol,AC121821.3
symbol,AC121874.1
symbol,AC122117.2
symbol,AC122442.1
symbol,AC122487.1
symbol,AC122818.4
symbol,AC122861.1
symbol,AC122861.4
symbol,AC124502.3
symbol,AC124553.1
symbol,AC125059.1
symbol,AC125101.1
symbol,AC125110.1
symbol,AC125544.1
symbol,AC126438.2
symbol,AC126937.2
symbol,AC127256.1
symbol,AC129188.1
symbol,AC129217.1
symbol,AC130718.2
symbol,AC131185.1
symbol,AC131675.3
symbol,AC132100.2
symbol,AC132148.1
symbol,AC132251.1
symbol,AC132253.4
symbol,AC132253.6
symbol,AC132253.9
symbol,AC132307.3
symbol,AC132353.2
symbol,AC132404.1
symbol,AC132452.1
symbol,AC132452.2
symbol,AC132452.5
symbol,AC132455.1
symbol,AC132455.3
symbol,AC132910.1
symbol,AC132957.1
symbol,AC133451.1
symbol,AC133523.2
symbol,AC133601.1
symbol,AC134908.4
symbol,AC135016.1
symbol,AC137853.2
symbol,AC138293.1
symbol,AC138768.2
symbol,AC138768.3
symbol,AC138790.1
symbol,AC140073.1
symbol,AC140207.1
symbol,AC140278.1
symbol,AC141471.1
symbol,AC141471.2
symbol,AC141636.2
symbol,AC141639.4
symbol,AC144621.2
symbol,AC144621.3
symbol,AC144797.2
symbol,AC148013.1
symbol,AC150274.2
symbol,AC151270.2
symbol,AC151294.1
symbol,AC151410.1
symbol,AC154200.1
symbol,AC154442.1
symbol,AC154766.4
symbol,AC154912.1
symbol,AC157910.6
symbol,AC158975.2
symbol,AC160993.1
symbol,AC161119.1
symbol,AC163629.2
symbol,AC163635.1
symbol,AC164314.1
symbol,AC164431.1
symbol,AC165951.1
symbol,AC165960.2
symbol,AC165962.1
symbol,AC166110.4
symbol,AC166164.1
symbol,AC166172.4
